Term;Unit;Ticker;Bid;Ask;Bid Spr Val;Ask Spr Val;Final Bid Rate;Final Ask Rate;Rate Type;Daycount;Freq
1;WK;EESWE1Z;1,931871533;1,934528232;0;0;1,931871533;1,934528232;Swap Rates;ACT/360;1
2;WK;EESWE2Z;1,931084871;1,932915211;0;0;1,931084871;1,932915211;Swap Rates;ACT/360;1
1;MO;EESWEA;1,932157397;1,934542537;0;0;1,932157397;1,934542537;Swap Rates;ACT/360;1
2;MO;EESWEB;1,932902217;1,935397744;0;0;1,932902217;1,935397744;Swap Rates;ACT/360;1
3;MO;EESWEC;1,932728529;1,935271502;0;0;1,932728529;1,935271502;Swap Rates;ACT/360;1
4;MO;EESWED;1,93235302;1,934947014;0;0;1,93235302;1,934947014;Swap Rates;ACT/360;1
5;MO;EESWEE;1,9319489;1,934951067;0;0;1,9319489;1,934951067;Swap Rates;ACT/360;1
6;MO;EESWEF;1,931214213;1,933885694;0;0;1,931214213;1,933885694;Swap Rates;ACT/360;1
7;MO;EESWEG;1,930253863;1,933846116;0;0;1,930253863;1,933846116;Swap Rates;ACT/360;1
8;MO;EESWEH;1,929519057;1,934180856;0;0;1,929519057;1,934180856;Swap Rates;ACT/360;1
9;MO;EESWEI;1,929864049;1,933135867;0;0;1,929864049;1,933135867;Swap Rates;ACT/360;1
10;MO;EESWEJ;1,930627108;1,933472872;0;0;1,930627108;1,933472872;Swap Rates;ACT/360;1
11;MO;EESWEK;1,930186152;1,936113954;0;0;1,930186152;1,936113954;Swap Rates;ACT/360;1
1;YR;EESWE1;1,751175284;2,118024826;0;0;1,751175284;2,118024826;Swap Rates;ACT/360;1
18;MO;EESWE1F;1,952108145;1,955591917;0;0;1,952108145;1,955591917;Swap Rates;ACT/360;1
2;YR;EESWE2;1,997510433;2,002989769;0;0;1,997510433;2,002989769;Swap Rates;ACT/360;1
3;YR;EESWE3;2,090119362;2,098480225;0;0;2,090119362;2,098480225;Swap Rates;ACT/360;1
4;YR;EESWE4;2,184245348;2,187754393;0;0;2,184245348;2,187754393;Swap Rates;ACT/360;1
5;YR;EESWE5;2,266786575;2,269813538;0;0;2,266786575;2,269813538;Swap Rates;ACT/360;1
6;YR;EESWE6;2,343127966;2,345872164;0;0;2,343127966;2,345872164;Swap Rates;ACT/360;1
7;YR;EESWE7;2,411929607;2,415971279;0;0;2,411929607;2,415971279;Swap Rates;ACT/360;1
8;YR;EESWE8;2,483417273;2,485983133;0;0;2,483417273;2,485983133;Swap Rates;ACT/360;1
9;YR;EESWE9;2,546783686;2,549216032;0;0;2,546783686;2,549216032;Swap Rates;ACT/360;1
10;YR;EESWE10;2,584677696;2,629321098;0;0;2,584677696;2,629321098;Swap Rates;ACT/360;1
11;YR;EESWE11;2,661256075;2,664543867;0;0;2,661256075;2,664543867;Swap Rates;ACT/360;1
12;YR;EESWE12;2,710562706;2,717037201;0;0;2,710562706;2,717037201;Swap Rates;ACT/360;1
15;YR;EESWE15;2,837251186;2,840548992;0;0;2,837251186;2,840548992;Swap Rates;ACT/360;1
20;YR;EESWE20;2,936329842;2,943669319;0;0;2,936329842;2,943669319;Swap Rates;ACT/360;1
25;YR;EESWE25;2,954843044;2,962156773;0;0;2,954843044;2,962156773;Swap Rates;ACT/360;1
30;YR;EESWE30;2,941019535;2,948979855;0;0;2,941019535;2,948979855;Swap Rates;ACT/360;1
40;YR;EESWE40;2,881122828;2,887877226;0;0;2,881122828;2,887877226;Swap Rates;ACT/360;1
50;YR;EESWE50;2,794045925;2,799952984;0;0;2,794045925;2,799952984;Swap Rates;ACT/360;1
