Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,7Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,151.42,278.36,331.45,307.84,320.72,387.08,420.32,485.73,584.91,280.47,260.67,256.45
3Mo,152.12,279.11,291.75,343.96,319.05,368.76,495.72,520.99,555.76,279.8,257.77,254.07
6Mo,153.66,310.93,292.29,304,353.84,339.73,401.29,420.93,447.67,278.68,253.05,250.1
9Mo,156.26,276,308.86,304.62,334.01,340.27,355.65,358.67,359.66,270.18,248.47,246.16
1Yr,159.03,241.67,324.09,305.24,315.37,340.72,311.79,298.03,272.44,261.96,244.01,242.34
2Yr,170.34,240.29,260.33,332.14,317.3,365.41,316.58,301.05,270.27,236.5,228.47,228.44
3Yr,178.16,255.91,253.44,275.11,337.15,329.29,260.19,252.99,238.33,219.32,216.25,217.05
4Yr,183.32,225.75,267.79,270.55,301.99,371.47,258.8,243.26,215.75,206.62,206.29,207.46
5Yr,187.34,211.58,233.2,297.21,341.76,252.25,222.88,214.65,201.31,196.96,198.22,199.52
6Yr,192.65,226.06,237.1,265.44,296.65,227.83,206.97,201.85,193.12,190.76,192.07,193.98
7Yr,196.21,236.59,239.72,227.77,215.64,201.28,190.64,188.89,184.85,184.49,185.88,188.4
8Yr,197.39,220.78,222.15,212.61,203.9,193.23,184.44,183.57,180.34,180.63,181.8,184.74
9Yr,199.87,204.55,202.9,196.87,191.55,184.37,178.25,177.44,175.78,176.71,177.65,180.98
10Yr,201.68,185.27,181.16,179.28,178.28,175.15,171.84,171.21,171.09,172.63,173.36,177.03
12Yr,191.23,176.98,174.16,171.8,170.41,169.66,166.32,166.66,166.6,167.41,169.15,170.51
15Yr,167.76,157.99,157.96,158.02,157.96,157.71,156.82,156.96,157.95,157.67,160.4,158.58
20Yr,151.29,146.53,146.64,146.59,146.53,146.65,146.29,145.14,144.38,146.02,142.15,138.19
25Yr,138.21,134.86,134.81,134.77,134.76,132.36,130.3,129.63,129.08,122.61,118.74,116.08
30Yr,116.35,114.74,114.67,114.64,114.67,114.62,114.5,110.95,107.3,105.02,102.91,101.53
